6
1
1	-1	-1	-1	-1	11	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	24	35	-1	-1	-1	-1	-1	31	-1	-1	-1
36	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	24	3	-1	22	11	-1	-1	-1	-1	-1	31	15	-1	17	9	-1	-1	13	-1	-1	-1	-1	20	35	14
-1	-1	14	-1	-1	-1	-1	-1	-1	15	-1	-1	21	-1	6	-1	-1	17	5	-1	13	-1	28	-1	-1	-1	19	-1	-1	27	9	-1	-1	-1	-1	-1
-1	-1	-1	7	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	4	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	27	25	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	32	-1	11	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	12	-1	-1	-1	-1	-1
-1	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	2	-1	34	-1	-1	-1	1	-1	-1	10	-1	-1	29	-1	-1	30	15	-1	-1	12	-1
-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	3	-1	35	-1	-1	-1	-1	-1	-1	-1
-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	6	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	17	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	2	-1	-1	-1	-1	35
-1	-1	21	2	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	28	-1	-1	-1	-1	9	3	-1	-1
-1	-1	-1	13	-1	-1	-1	-1	14	-1	-1	-1	-1	20	-1	-1	-1	-1	33	30	-1	34	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	32	-1
-1	-1	-1	-1	-1	26	-1	-1	-1	-1	20	-1	-1	18	-1	24	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	15	-1
-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	15	4	-1	-1	-1	-1	10	-1	-1	-1	-1	22	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	5	3	-1	34	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	9	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1
