6
1
-1	-1	-1	-1	-1	-1	-1	-1	30	33	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	8	-1	11	-1	-1	-1	-1	-1	-1
8	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	14	-1	3	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	33	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	26	13	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	1
30	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	23	-1	-1	20	-1	12
-1	-1	18	-1	23	-1	-1	2	-1	-1	22	-1	26	-1	-1	10	-1	7	-1	16	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	4	-1	-1	21	13	-1
16	-1	30	2	-1	-1	-1	-1	-1	1	-1	-1	20	-1	9	-1	-1	17	8	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	4	14	29	-1	15	-1	7	-1	-1	-1	22	-1	21	-1	32	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1
-1	-1	-1	-1	12	-1	-1	19	-1	-1	36	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1
-1	-1	-1	-1	-1	17	-1	-1	-1	9	-1	-1	3	-1	-1	-1	-1	11	-1	18	-1	26	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	-1	-1	-1	-1	23	-1	34	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	5	-1	27	-1	-1	-1	16	-1	-1	-1	8	24	-1	-1
-1	11	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	31	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	21	23	11	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	20	-1	-1	9	-1	-1
-1	8	-1	-1	-1	-1	18	29	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	27	-1	-1	-1	16	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1
-1	32	-1	31	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	25	36	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	18	-1	-1	-1	-1
-1	-1	6	-1	-1	-1	35	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	3	-1	5	23	-1	16	11	-1	-1	-1	-1	-1	-1	-1	-1
