6
1
-1	-1	-1	-1	-1	18	-1	-1	-1	-1	34	-1	29	-1	-1	-1	-1	-1	30	-1	20	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	13	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	17	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	7	-1	14	-1	-1	21	-1	-1
-1	-1	-1	-1	17	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	28	19	13	-1	20	-1	-1	36	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	2	20	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	24	33	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	3	-1
-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1
16	-1	10	-1	-1	-1	-1	15	-1	-1	13	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	28
3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	27	-1	-1	-1
-1	-1	-1	22	-1	-1	-1	-1	11	32	23	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	36	-1
-1	-1	-1	27	11	21	-1	-1	-1	-1	36	31	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	12	-1	-1	-1	18	-1	-1	-1	28	20	-1
-1	28	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	7
-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	-1
-1	-1	-1	-1	-1	-1	16	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	11	-1	-1	-1	-1	-1	-1	-1	31	-1
-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	7	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1
