6
1
31	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1
-1	35	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	30	5	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	25	16	-1	-1	-1	-1
24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	18	-1	-1	-1	-1	-1	-1	25	-1	16	33	-1	-1	-1	-1	28	-1	15	5	-1	-1	7	19	-1
-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	13	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	20	22	-1	-1	-1	-1	-1	-1	-1	-1	28	14
-1	-1	-1	-1	-1	-1	-1	-1	-1	33	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1
6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	10	-1	-1	-1	36	23	-1	-1	-1	-1	-1
-1	-1	-1	7	10	-1	5	-1	-1	4	6	-1	-1	-1	-1	18	-1	-1	-1	-1	31	-1	-1	-1	15	-1	16	26	-1	-1	-1	14	-1	3	-1	8
-1	-1	-1	-1	-1	-1	-1	-1	-1	28	19	35	-1	-1	-1	-1	-1	10	-1	-1	2	-1	-1	-1	13	-1	-1	-1	22	-1	-1	-1	-1	34	-1	-1
-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	15	-1	27	-1	12	11
-1	-1	-1	-1	-1	-1	-1	31	-1	3	-1	-1	-1	-1	-1	14	16	-1	-1	-1	-1	32	24	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	13	36	-1
-1	21	17	1	-1	27	-1	-1	-1	-1	18	13	-1	-1	-1	20	12	-1	-1	-1	34	-1	-1	-1	-1	23	-1	-1	-1	-1	6	-1	-1	-1	-1	-1
-1	-1	32	-1	-1	8	-1	-1	-1	-1	-1	-1	36	-1	-1	30	-1	-1	26	-1	-1	28	-1	3	-1	33	-1	35	-1	1	-1	-1	-1	-1	25	-1
-1	-1	-1	34	-1	15	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	18	33	16	-1	-1	-1	-1	14	-1	17	-1	20	-1	-1	27	-1	26	-1	-1
