6
1
-1	-1	-1	-1	-1	16	-1	-1	-1	5	-1	9	-1	31	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	11	8
-1	-1	-1	-1	-1	-1	29	-1	12	-1	14	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	22
-1	-1	-1	-1	-1	7	-1	-1	-1	-1	10	-1	-1	9	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	6	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	31	-1	9	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	7
-1	25	3	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	6	17	-1	-1	13	28	-1	-1	-1	-1	-1	20	-1	-1	35	-1	2	9	12	23	-1	-1	-1
-1	26	-1	-1	18	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	32	19	-1	-1	-1
20	13	-1	35	-1	6	4	-1	-1	-1	-1	-1	15	-1	33	-1	-1	22	-1	-1	-1	-1	3	8	-1	-1	-1	36	11	-1	-1	-1	-1	-1	32	-1
-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	23	-1	25	-1	-1	-1	32	7	-1	-1	-1	-1	8	21	-1	-1	-1	-1	11	-1	-1	30
-1	-1	22	-1	-1	-1	15	-1	-1	-1	-1	28	-1	-1	-1	-1	30	-1	-1	-1	-1	16	-1	-1	31	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1
-1	-1	36	-1	12	5	-1	-1	9	-1	16	-1	-1	20	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1
-1	24	-1	-1	-1	10	-1	-1	-1	-1	30	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	32	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	-1	-1	-1	-1	30	-1	24	29	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	1	8	-1	-1
-1	-1	35	28	-1	-1	2	-1	18	-1	22	-1	21	-1	-1	-1	-1	32	-1	-1	27	-1	-1	36	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	15	-1
